time(s)	,         LorenzX	,          LorenzY		,          LorenzZ		
22.89	,	[10.78 10.11]	,	[10.78 10.11 30.73]	,	[10.78 10.11 30.73]
22.9	,	[10.72  9.71]	,	[10.72  9.71 31.  ]	,	[10.72  9.71 31.  ]
22.91	,	[10.62  9.29]	,	[10.62  9.29 31.22]	,	[10.62  9.29 31.22]
22.92	,	[10.48  8.86]	,	[10.48  8.86 31.37]	,	[10.48  8.86 31.37]
22.93	,	[10.32  8.42]	,	[10.32  8.42 31.46]	,	[10.32  8.42 31.46]
22.94	,	[10.13  7.98]	,	[10.13  7.98 31.49]	,	[10.13  7.98 31.49]
22.95	,	[9.92 7.54]	,	[ 9.92  7.54 31.46]	,	[ 9.92  7.54 31.46]
22.96	,	[9.68 7.12]	,	[ 9.68  7.12 31.37]	,	[ 9.68  7.12 31.37]
22.97	,	[9.42 6.73]	,	[ 9.42  6.73 31.22]	,	[ 9.42  6.73 31.22]
22.98	,	[9.15 6.36]	,	[ 9.15  6.36 31.02]	,	[ 9.15  6.36 31.02]
22.99	,	[8.87 6.02]	,	[ 8.87  6.02 30.78]	,	[ 8.87  6.02 30.78]
23.0	,	[8.59 5.71]	,	[ 8.59  5.71 30.49]	,	[ 8.59  5.71 30.49]
23.01	,	[8.3  5.44]	,	[ 8.3   5.44 30.17]	,	[ 8.3   5.44 30.17]
23.02	,	[8.01 5.2 ]	,	[ 8.01  5.2  29.82]	,	[ 8.01  5.2  29.82]
23.03	,	[7.73 5.01]	,	[ 7.73  5.01 29.44]	,	[ 7.73  5.01 29.44]
23.04	,	[7.46 4.85]	,	[ 7.46  4.85 29.04]	,	[ 7.46  4.85 29.04]
23.05	,	[7.2  4.72]	,	[ 7.2   4.72 28.63]	,	[ 7.2   4.72 28.63]
23.06	,	[6.95 4.63]	,	[ 6.95  4.63 28.2 ]	,	[ 6.95  4.63 28.2 ]
23.07	,	[6.72 4.57]	,	[ 6.72  4.57 27.77]	,	[ 6.72  4.57 27.77]
23.08	,	[6.5  4.54]	,	[ 6.5   4.54 27.34]	,	[ 6.5   4.54 27.34]
23.09	,	[6.31 4.53]	,	[ 6.31  4.53 26.9 ]	,	[ 6.31  4.53 26.9 ]
23.1	,	[6.13 4.56]	,	[ 6.13  4.56 26.47]	,	[ 6.13  4.56 26.47]
23.11	,	[5.97 4.61]	,	[ 5.97  4.61 26.05]	,	[ 5.97  4.61 26.05]
23.12	,	[5.84 4.68]	,	[ 5.84  4.68 25.63]	,	[ 5.84  4.68 25.63]
23.13	,	[5.72 4.77]	,	[ 5.72  4.77 25.22]	,	[ 5.72  4.77 25.22]
23.14	,	[5.62 4.88]	,	[ 5.62  4.88 24.82]	,	[ 5.62  4.88 24.82]
23.15	,	[5.55 5.01]	,	[ 5.55  5.01 24.43]	,	[ 5.55  5.01 24.43]
23.16	,	[5.5  5.16]	,	[ 5.5   5.16 24.06]	,	[ 5.5   5.16 24.06]
23.17	,	[5.46 5.32]	,	[ 5.46  5.32 23.7 ]	,	[ 5.46  5.32 23.7 ]
23.18	,	[5.45 5.5 ]	,	[ 5.45  5.5  23.36]	,	[ 5.45  5.5  23.36]
23.19	,	[5.45 5.7 ]	,	[ 5.45  5.7  23.03]	,	[ 5.45  5.7  23.03]
23.2	,	[5.48 5.92]	,	[ 5.48  5.92 22.73]	,	[ 5.48  5.92 22.73]
23.21	,	[5.52 6.15]	,	[ 5.52  6.15 22.45]	,	[ 5.52  6.15 22.45]
23.22	,	[5.58 6.39]	,	[ 5.58  6.39 22.19]	,	[ 5.58  6.39 22.19]
23.23	,	[5.67 6.65]	,	[ 5.67  6.65 21.95]	,	[ 5.67  6.65 21.95]
23.24	,	[5.76 6.93]	,	[ 5.76  6.93 21.75]	,	[ 5.76  6.93 21.75]
23.25	,	[5.88 7.22]	,	[ 5.88  7.22 21.57]	,	[ 5.88  7.22 21.57]
23.26	,	[6.01 7.53]	,	[ 6.01  7.53 21.41]	,	[ 6.01  7.53 21.41]
23.27	,	[6.17 7.85]	,	[ 6.17  7.85 21.3 ]	,	[ 6.17  7.85 21.3 ]
23.28	,	[6.33 8.18]	,	[ 6.33  8.18 21.21]	,	[ 6.33  8.18 21.21]
23.29	,	[6.52 8.53]	,	[ 6.52  8.53 21.16]	,	[ 6.52  8.53 21.16]
23.3	,	[6.72 8.89]	,	[ 6.72  8.89 21.16]	,	[ 6.72  8.89 21.16]
23.31	,	[6.94 9.26]	,	[ 6.94  9.26 21.19]	,	[ 6.94  9.26 21.19]
23.32	,	[7.17 9.64]	,	[ 7.17  9.64 21.27]	,	[ 7.17  9.64 21.27]
23.33	,	[ 7.42 10.03]	,	[ 7.42 10.03 21.39]	,	[ 7.42 10.03 21.39]
23.34	,	[ 7.68 10.42]	,	[ 7.68 10.42 21.56]	,	[ 7.68 10.42 21.56]
23.35	,	[ 7.95 10.81]	,	[ 7.95 10.81 21.79]	,	[ 7.95 10.81 21.79]
23.36	,	[ 8.24 11.19]	,	[ 8.24 11.19 22.07]	,	[ 8.24 11.19 22.07]
23.37	,	[ 8.53 11.57]	,	[ 8.53 11.57 22.4 ]	,	[ 8.53 11.57 22.4 ]
23.38	,	[ 8.84 11.93]	,	[ 8.84 11.93 22.79]	,	[ 8.84 11.93 22.79]
23.39	,	[ 9.15 12.27]	,	[ 9.15 12.27 23.24]	,	[ 9.15 12.27 23.24]
23.4	,	[ 9.46 12.59]	,	[ 9.46 12.59 23.74]	,	[ 9.46 12.59 23.74]
23.41	,	[ 9.77 12.86]	,	[ 9.77 12.86 24.3 ]	,	[ 9.77 12.86 24.3 ]
23.42	,	[10.08 13.1 ]	,	[10.08 13.1  24.9 ]	,	[10.08 13.1  24.9 ]
23.43	,	[10.38 13.28]	,	[10.38 13.28 25.56]	,	[10.38 13.28 25.56]
23.44	,	[10.67 13.4 ]	,	[10.67 13.4  26.26]	,	[10.67 13.4  26.26]
23.45	,	[10.94 13.45]	,	[10.94 13.45 26.99]	,	[10.94 13.45 26.99]
23.46	,	[11.19 13.43]	,	[11.19 13.43 27.74]	,	[11.19 13.43 27.74]
23.47	,	[11.42 13.32]	,	[11.42 13.32 28.5 ]	,	[11.42 13.32 28.5 ]
23.48	,	[11.61 13.13]	,	[11.61 13.13 29.26]	,	[11.61 13.13 29.26]
23.49	,	[11.76 12.85]	,	[11.76 12.85 30.01]	,	[11.76 12.85 30.01]
23.5	,	[11.87 12.49]	,	[11.87 12.49 30.72]	,	[11.87 12.49 30.72]
23.51	,	[11.93 12.04]	,	[11.93 12.04 31.38]	,	[11.93 12.04 31.38]
23.52	,	[11.94 11.52]	,	[11.94 11.52 31.98]	,	[11.94 11.52 31.98]
23.53	,	[11.9  10.93]	,	[11.9  10.93 32.5 ]	,	[11.9  10.93 32.5 ]
23.54	,	[11.8  10.28]	,	[11.8  10.28 32.94]	,	[11.8  10.28 32.94]
23.55	,	[11.65  9.6 ]	,	[11.65  9.6  33.27]	,	[11.65  9.6  33.27]
23.56	,	[11.44  8.89]	,	[11.44  8.89 33.5 ]	,	[11.44  8.89 33.5 ]
23.57	,	[11.19  8.17]	,	[11.19  8.17 33.63]	,	[11.19  8.17 33.63]
23.58	,	[10.89  7.46]	,	[10.89  7.46 33.64]	,	[10.89  7.46 33.64]
23.59	,	[10.54  6.77]	,	[10.54  6.77 33.56]	,	[10.54  6.77 33.56]
23.6	,	[10.17  6.11]	,	[10.17  6.11 33.38]	,	[10.17  6.11 33.38]
23.61	,	[9.76 5.51]	,	[ 9.76  5.51 33.11]	,	[ 9.76  5.51 33.11]
23.62	,	[9.33 4.95]	,	[ 9.33  4.95 32.76]	,	[ 9.33  4.95 32.76]
23.63	,	[8.9  4.46]	,	[ 8.9   4.46 32.35]	,	[ 8.9   4.46 32.35]
23.64	,	[8.45 4.03]	,	[ 8.45  4.03 31.88]	,	[ 8.45  4.03 31.88]
23.65	,	[8.01 3.66]	,	[ 8.01  3.66 31.37]	,	[ 8.01  3.66 31.37]
23.66	,	[7.57 3.35]	,	[ 7.57  3.35 30.83]	,	[ 7.57  3.35 30.83]
23.67	,	[7.15 3.1 ]	,	[ 7.15  3.1  30.26]	,	[ 7.15  3.1  30.26]
23.68	,	[6.75 2.91]	,	[ 6.75  2.91 29.68]	,	[ 6.75  2.91 29.68]
23.69	,	[6.36 2.77]	,	[ 6.36  2.77 29.08]	,	[ 6.36  2.77 29.08]
23.7	,	[6.   2.67]	,	[ 6.    2.67 28.48]	,	[ 6.    2.67 28.48]
23.71	,	[5.67 2.62]	,	[ 5.67  2.62 27.88]	,	[ 5.67  2.62 27.88]
23.72	,	[5.37 2.6 ]	,	[ 5.37  2.6  27.29]	,	[ 5.37  2.6  27.29]
23.73	,	[5.09 2.61]	,	[ 5.09  2.61 26.7 ]	,	[ 5.09  2.61 26.7 ]
23.74	,	[4.84 2.65]	,	[ 4.84  2.65 26.12]	,	[ 4.84  2.65 26.12]
23.75	,	[4.62 2.71]	,	[ 4.62  2.71 25.55]	,	[ 4.62  2.71 25.55]
23.76	,	[4.43 2.8 ]	,	[ 4.43  2.8  25.  ]	,	[ 4.43  2.8  25.  ]
23.77	,	[4.27 2.9 ]	,	[ 4.27  2.9  24.45]	,	[ 4.27  2.9  24.45]
23.78	,	[4.13 3.03]	,	[ 4.13  3.03 23.93]	,	[ 4.13  3.03 23.93]
23.79	,	[4.02 3.16]	,	[ 4.02  3.16 23.41]	,	[ 4.02  3.16 23.41]
23.8	,	[3.94 3.32]	,	[ 3.94  3.32 22.92]	,	[ 3.94  3.32 22.92]
23.81	,	[3.87 3.48]	,	[ 3.87  3.48 22.44]	,	[ 3.87  3.48 22.44]
23.82	,	[3.83 3.66]	,	[ 3.83  3.66 21.97]	,	[ 3.83  3.66 21.97]
23.83	,	[3.82 3.86]	,	[ 3.82  3.86 21.53]	,	[ 3.82  3.86 21.53]
23.84	,	[3.82 4.07]	,	[ 3.82  4.07 21.1 ]	,	[ 3.82  4.07 21.1 ]
23.85	,	[3.85 4.29]	,	[ 3.85  4.29 20.69]	,	[ 3.85  4.29 20.69]
23.86	,	[3.89 4.53]	,	[ 3.89  4.53 20.31]	,	[ 3.89  4.53 20.31]
23.87	,	[3.95 4.78]	,	[ 3.95  4.78 19.94]	,	[ 3.95  4.78 19.94]
23.88	,	[4.04 5.05]	,	[ 4.04  5.05 19.6 ]	,	[ 4.04  5.05 19.6 ]
23.89	,	[4.14 5.34]	,	[ 4.14  5.34 19.28]	,	[ 4.14  5.34 19.28]
23.9	,	[4.26 5.65]	,	[ 4.26  5.65 18.99]	,	[ 4.26  5.65 18.99]
23.91	,	[4.4  5.98]	,	[ 4.4   5.98 18.72]	,	[ 4.4   5.98 18.72]
23.92	,	[4.56 6.33]	,	[ 4.56  6.33 18.48]	,	[ 4.56  6.33 18.48]
23.93	,	[4.73 6.7 ]	,	[ 4.73  6.7  18.28]	,	[ 4.73  6.7  18.28]
23.94	,	[4.93 7.09]	,	[ 4.93  7.09 18.11]	,	[ 4.93  7.09 18.11]
23.95	,	[5.15 7.51]	,	[ 5.15  7.51 17.98]	,	[ 5.15  7.51 17.98]
23.96	,	[5.38 7.95]	,	[ 5.38  7.95 17.88]	,	[ 5.38  7.95 17.88]
23.97	,	[5.64 8.41]	,	[ 5.64  8.41 17.83]	,	[ 5.64  8.41 17.83]
23.98	,	[5.92 8.9 ]	,	[ 5.92  8.9  17.83]	,	[ 5.92  8.9  17.83]
23.99	,	[6.21 9.41]	,	[ 6.21  9.41 17.88]	,	[ 6.21  9.41 17.88]
24.0	,	[6.53 9.95]	,	[ 6.53  9.95 17.99]	,	[ 6.53  9.95 17.99]
24.01	,	[ 6.88 10.5 ]	,	[ 6.88 10.5  18.16]	,	[ 6.88 10.5  18.16]
24.02	,	[ 7.24 11.07]	,	[ 7.24 11.07 18.4 ]	,	[ 7.24 11.07 18.4 ]
24.03	,	[ 7.62 11.66]	,	[ 7.62 11.66 18.71]	,	[ 7.62 11.66 18.71]
24.04	,	[ 8.03 12.25]	,	[ 8.03 12.25 19.1 ]	,	[ 8.03 12.25 19.1 ]
24.05	,	[ 8.45 12.84]	,	[ 8.45 12.84 19.57]	,	[ 8.45 12.84 19.57]
24.06	,	[ 8.89 13.42]	,	[ 8.89 13.42 20.14]	,	[ 8.89 13.42 20.14]
24.07	,	[ 9.34 13.99]	,	[ 9.34 13.99 20.79]	,	[ 9.34 13.99 20.79]
24.08	,	[ 9.81 14.52]	,	[ 9.81 14.52 21.54]	,	[ 9.81 14.52 21.54]
24.09	,	[10.28 15.01]	,	[10.28 15.01 22.39]	,	[10.28 15.01 22.39]
24.1	,	[10.75 15.44]	,	[10.75 15.44 23.34]	,	[10.75 15.44 23.34]
24.11	,	[11.22 15.78]	,	[11.22 15.78 24.38]	,	[11.22 15.78 24.38]
24.12	,	[11.68 16.03]	,	[11.68 16.03 25.5 ]	,	[11.68 16.03 25.5 ]
24.13	,	[12.11 16.16]	,	[12.11 16.16 26.69]	,	[12.11 16.16 26.69]
24.14	,	[12.52 16.16]	,	[12.52 16.16 27.94]	,	[12.52 16.16 27.94]
24.15	,	[12.88 16.01]	,	[12.88 16.01 29.21]	,	[12.88 16.01 29.21]
24.16	,	[13.19 15.69]	,	[13.19 15.69 30.5 ]	,	[13.19 15.69 30.5 ]
24.17	,	[13.44 15.2 ]	,	[13.44 15.2  31.75]	,	[13.44 15.2  31.75]
24.18	,	[13.62 14.55]	,	[13.62 14.55 32.95]	,	[13.62 14.55 32.95]
24.19	,	[13.71 13.73]	,	[13.71 13.73 34.05]	,	[13.71 13.73 34.05]
24.2	,	[13.71 12.76]	,	[13.71 12.76 35.03]	,	[13.71 12.76 35.03]
24.21	,	[13.62 11.67]	,	[13.62 11.67 35.84]	,	[13.62 11.67 35.84]
24.22	,	[13.42 10.48]	,	[13.42 10.48 36.48]	,	[13.42 10.48 36.48]
24.23	,	[13.13  9.24]	,	[13.13  9.24 36.91]	,	[13.13  9.24 36.91]
24.24	,	[12.74  7.98]	,	[12.74  7.98 37.14]	,	[12.74  7.98 37.14]
24.25	,	[12.26  6.74]	,	[12.26  6.74 37.17]	,	[12.26  6.74 37.17]
24.26	,	[11.71  5.54]	,	[11.71  5.54 37.  ]	,	[11.71  5.54 37.  ]
24.27	,	[11.1   4.43]	,	[11.1   4.43 36.66]	,	[11.1   4.43 36.66]
24.28	,	[10.43  3.43]	,	[10.43  3.43 36.18]	,	[10.43  3.43 36.18]
24.29	,	[9.73 2.54]	,	[ 9.73  2.54 35.57]	,	[ 9.73  2.54 35.57]
24.3	,	[9.01 1.78]	,	[ 9.01  1.78 34.87]	,	[ 9.01  1.78 34.87]
24.31	,	[8.29 1.14]	,	[ 8.29  1.14 34.1 ]	,	[ 8.29  1.14 34.1 ]
24.32	,	[7.57 0.63]	,	[ 7.57  0.63 33.29]	,	[ 7.57  0.63 33.29]
24.33	,	[6.88 0.22]	,	[ 6.88  0.22 32.45]	,	[ 6.88  0.22 32.45]
24.34	,	[ 6.21 -0.09]	,	[ 6.21 -0.09 31.6 ]	,	[ 6.21 -0.09 31.6 ]
24.35	,	[ 5.58 -0.31]	,	[ 5.58 -0.31 30.75]	,	[ 5.58 -0.31 30.75]
24.36	,	[ 4.99 -0.46]	,	[ 4.99 -0.46 29.91]	,	[ 4.99 -0.46 29.91]
24.37	,	[ 4.45 -0.55]	,	[ 4.45 -0.55 29.09]	,	[ 4.45 -0.55 29.09]
24.38	,	[ 3.95 -0.6 ]	,	[ 3.95 -0.6  28.29]	,	[ 3.95 -0.6  28.29]
24.39	,	[ 3.49 -0.6 ]	,	[ 3.49 -0.6  27.51]	,	[ 3.49 -0.6  27.51]
24.4	,	[ 3.08 -0.58]	,	[ 3.08 -0.58 26.76]	,	[ 3.08 -0.58 26.76]
24.41	,	[ 2.72 -0.53]	,	[ 2.72 -0.53 26.03]	,	[ 2.72 -0.53 26.03]
24.42	,	[ 2.39 -0.47]	,	[ 2.39 -0.47 25.32]	,	[ 2.39 -0.47 25.32]
24.43	,	[ 2.11 -0.41]	,	[ 2.11 -0.41 24.63]	,	[ 2.11 -0.41 24.63]
24.44	,	[ 1.85 -0.33]	,	[ 1.85 -0.33 23.96]	,	[ 1.85 -0.33 23.96]
24.45	,	[ 1.64 -0.25]	,	[ 1.64 -0.25 23.32]	,	[ 1.64 -0.25 23.32]
24.46	,	[ 1.45 -0.17]	,	[ 1.45 -0.17 22.69]	,	[ 1.45 -0.17 22.69]
24.47	,	[ 1.28 -0.1 ]	,	[ 1.28 -0.1  22.09]	,	[ 1.28 -0.1  22.09]
24.48	,	[ 1.15 -0.02]	,	[ 1.15e+00 -2.00e-02  2.15e+01]	,	[ 1.15e+00 -2.00e-02  2.15e+01]
24.49	,	[1.03 0.06]	,	[ 1.03  0.06 20.92]	,	[ 1.03  0.06 20.92]
24.5	,	[0.93 0.13]	,	[ 0.93  0.13 20.36]	,	[ 0.93  0.13 20.36]
24.51	,	[0.85 0.2 ]	,	[ 0.85  0.2  19.82]	,	[ 0.85  0.2  19.82]
24.52	,	[0.79 0.27]	,	[ 0.79  0.27 19.3 ]	,	[ 0.79  0.27 19.3 ]
24.53	,	[0.74 0.33]	,	[ 0.74  0.33 18.78]	,	[ 0.74  0.33 18.78]
24.54	,	[0.69 0.4 ]	,	[ 0.69  0.4  18.29]	,	[ 0.69  0.4  18.29]
24.55	,	[0.67 0.46]	,	[ 0.67  0.46 17.8 ]	,	[ 0.67  0.46 17.8 ]
24.56	,	[0.64 0.52]	,	[ 0.64  0.52 17.33]	,	[ 0.64  0.52 17.33]
24.57	,	[0.63 0.59]	,	[ 0.63  0.59 16.87]	,	[ 0.63  0.59 16.87]
24.58	,	[0.63 0.65]	,	[ 0.63  0.65 16.42]	,	[ 0.63  0.65 16.42]
24.59	,	[0.63 0.72]	,	[ 0.63  0.72 15.99]	,	[ 0.63  0.72 15.99]
24.6	,	[0.64 0.79]	,	[ 0.64  0.79 15.57]	,	[ 0.64  0.79 15.57]
24.61	,	[0.65 0.86]	,	[ 0.65  0.86 15.16]	,	[ 0.65  0.86 15.16]
24.62	,	[0.67 0.93]	,	[ 0.67  0.93 14.76]	,	[ 0.67  0.93 14.76]
24.63	,	[0.7  1.01]	,	[ 0.7   1.01 14.37]	,	[ 0.7   1.01 14.37]
24.64	,	[0.73 1.1 ]	,	[ 0.73  1.1  14.  ]	,	[ 0.73  1.1  14.  ]
24.65	,	[0.77 1.19]	,	[ 0.77  1.19 13.63]	,	[ 0.77  1.19 13.63]
24.66	,	[0.81 1.29]	,	[ 0.81  1.29 13.28]	,	[ 0.81  1.29 13.28]
24.67	,	[0.86 1.4 ]	,	[ 0.86  1.4  12.93]	,	[ 0.86  1.4  12.93]
24.68	,	[0.91 1.51]	,	[ 0.91  1.51 12.6 ]	,	[ 0.91  1.51 12.6 ]
24.69	,	[0.97 1.64]	,	[ 0.97  1.64 12.28]	,	[ 0.97  1.64 12.28]
24.7	,	[1.04 1.77]	,	[ 1.04  1.77 11.97]	,	[ 1.04  1.77 11.97]
24.71	,	[1.11 1.92]	,	[ 1.11  1.92 11.67]	,	[ 1.11  1.92 11.67]
24.72	,	[1.19 2.08]	,	[ 1.19  2.08 11.38]	,	[ 1.19  2.08 11.38]
24.73	,	[1.28 2.26]	,	[ 1.28  2.26 11.1 ]	,	[ 1.28  2.26 11.1 ]
24.74	,	[1.38 2.45]	,	[ 1.38  2.45 10.83]	,	[ 1.38  2.45 10.83]
24.75	,	[1.49 2.67]	,	[ 1.49  2.67 10.58]	,	[ 1.49  2.67 10.58]
24.76	,	[1.61 2.9 ]	,	[ 1.61  2.9  10.33]	,	[ 1.61  2.9  10.33]
24.77	,	[1.73 3.15]	,	[ 1.73  3.15 10.1 ]	,	[ 1.73  3.15 10.1 ]
24.78	,	[1.88 3.43]	,	[1.88 3.43 9.89]	,	[1.88 3.43 9.89]
24.79	,	[2.03 3.74]	,	[2.03 3.74 9.69]	,	[2.03 3.74 9.69]
24.8	,	[2.2  4.07]	,	[2.2  4.07 9.51]	,	[2.2  4.07 9.51]
24.81	,	[2.39 4.44]	,	[2.39 4.44 9.34]	,	[2.39 4.44 9.34]
24.82	,	[2.59 4.84]	,	[2.59 4.84 9.2 ]	,	[2.59 4.84 9.2 ]
24.83	,	[2.82 5.28]	,	[2.82 5.28 9.08]	,	[2.82 5.28 9.08]
24.84	,	[3.07 5.76]	,	[3.07 5.76 8.99]	,	[3.07 5.76 8.99]
24.85	,	[3.34 6.29]	,	[3.34 6.29 8.92]	,	[3.34 6.29 8.92]
24.86	,	[3.63 6.86]	,	[3.63 6.86 8.9 ]	,	[3.63 6.86 8.9 ]
24.87	,	[3.95 7.49]	,	[3.95 7.49 8.91]	,	[3.95 7.49 8.91]
24.88	,	[4.31 8.16]	,	[4.31 8.16 8.97]	,	[4.31 8.16 8.97]
24.89	,	[4.69 8.9 ]	,	[4.69 8.9  9.08]	,	[4.69 8.9  9.08]
24.9	,	[5.11 9.7 ]	,	[5.11 9.7  9.25]	,	[5.11 9.7  9.25]
24.91	,	[ 5.57 10.56]	,	[ 5.57 10.56  9.5 ]	,	[ 5.57 10.56  9.5 ]
24.92	,	[ 6.07 11.49]	,	[ 6.07 11.49  9.84]	,	[ 6.07 11.49  9.84]
24.93	,	[ 6.61 12.48]	,	[ 6.61 12.48 10.27]	,	[ 6.61 12.48 10.27]
24.94	,	[ 7.2  13.52]	,	[ 7.2  13.52 10.83]	,	[ 7.2  13.52 10.83]
24.95	,	[ 7.83 14.62]	,	[ 7.83 14.62 11.51]	,	[ 7.83 14.62 11.51]
24.96	,	[ 8.51 15.77]	,	[ 8.51 15.77 12.35]	,	[ 8.51 15.77 12.35]
24.97	,	[ 9.24 16.94]	,	[ 9.24 16.94 13.36]	,	[ 9.24 16.94 13.36]
24.98	,	[10.01 18.13]	,	[10.01 18.13 14.57]	,	[10.01 18.13 14.57]
24.99	,	[10.82 19.29]	,	[10.82 19.29 16.  ]	,	[10.82 19.29 16.  ]
25.0	,	[11.67 20.4 ]	,	[11.67 20.4  17.66]	,	[11.67 20.4  17.66]
25.01	,	[12.54 21.4 ]	,	[12.54 21.4  19.57]	,	[12.54 21.4  19.57]
25.02	,	[13.43 22.24]	,	[13.43 22.24 21.73]	,	[13.43 22.24 21.73]
25.03	,	[14.31 22.86]	,	[14.31 22.86 24.13]	,	[14.31 22.86 24.13]
25.04	,	[15.16 23.19]	,	[15.16 23.19 26.76]	,	[15.16 23.19 26.76]
25.05	,	[15.96 23.14]	,	[15.96 23.14 29.56]	,	[15.96 23.14 29.56]
25.06	,	[16.68 22.66]	,	[16.68 22.66 32.47]	,	[16.68 22.66 32.47]
25.07	,	[17.28 21.69]	,	[17.28 21.69 35.38]	,	[17.28 21.69 35.38]
25.08	,	[17.72 20.2 ]	,	[17.72 20.2  38.19]	,	[17.72 20.2  38.19]
25.09	,	[17.97 18.19]	,	[17.97 18.19 40.75]	,	[17.97 18.19 40.75]
25.1	,	[17.99 15.72]	,	[17.99 15.72 42.93]	,	[17.99 15.72 42.93]
25.11	,	[17.76 12.87]	,	[17.76 12.87 44.61]	,	[17.76 12.87 44.61]
25.12	,	[17.27  9.79]	,	[17.27  9.79 45.71]	,	[17.27  9.79 45.71]
25.13	,	[16.53  6.64]	,	[16.53  6.64 46.18]	,	[16.53  6.64 46.18]
25.14	,	[15.54  3.56]	,	[15.54  3.56 46.05]	,	[15.54  3.56 46.05]
25.15	,	[14.34  0.72]	,	[14.34  0.72 45.37]	,	[14.34  0.72 45.37]
25.16	,	[12.98 -1.77]	,	[12.98 -1.77 44.27]	,	[12.98 -1.77 44.27]
25.17	,	[11.5  -3.87]	,	[11.5  -3.87 42.86]	,	[11.5  -3.87 42.86]
25.18	,	[ 9.97 -5.54]	,	[ 9.97 -5.54 41.27]	,	[ 9.97 -5.54 41.27]
25.19	,	[ 8.42 -6.81]	,	[ 8.42 -6.81 39.62]	,	[ 8.42 -6.81 39.62]
25.2	,	[ 6.89 -7.71]	,	[ 6.89 -7.71 37.99]	,	[ 6.89 -7.71 37.99]
25.21	,	[ 5.43 -8.33]	,	[ 5.43 -8.33 36.44]	,	[ 5.43 -8.33 36.44]
25.22	,	[ 4.06 -8.7 ]	,	[ 4.06 -8.7  35.02]	,	[ 4.06 -8.7  35.02]
25.23	,	[ 2.78 -8.9 ]	,	[ 2.78 -8.9  33.73]	,	[ 2.78 -8.9  33.73]
25.24	,	[ 1.61 -8.97]	,	[ 1.61 -8.97 32.59]	,	[ 1.61 -8.97 32.59]
25.25	,	[ 0.55 -8.95]	,	[ 0.55 -8.95 31.57]	,	[ 0.55 -8.95 31.57]
25.26	,	[-0.4  -8.88]	,	[-0.4  -8.88 30.68]	,	[-0.4  -8.88 30.68]
25.27	,	[-1.25 -8.78]	,	[-1.25 -8.78 29.9 ]	,	[-1.25 -8.78 29.9 ]
25.28	,	[-2.   -8.67]	,	[-2.   -8.67 29.21]	,	[-2.   -8.67 29.21]
25.29	,	[-2.67 -8.56]	,	[-2.67 -8.56 28.6 ]	,	[-2.67 -8.56 28.6 ]
25.3	,	[-3.26 -8.46]	,	[-3.26 -8.46 28.07]	,	[-3.26 -8.46 28.07]
25.31	,	[-3.78 -8.37]	,	[-3.78 -8.37 27.6 ]	,	[-3.78 -8.37 27.6 ]
25.32	,	[-4.24 -8.31]	,	[-4.24 -8.31 27.18]	,	[-4.24 -8.31 27.18]
25.33	,	[-4.64 -8.26]	,	[-4.64 -8.26 26.8 ]	,	[-4.64 -8.26 26.8 ]
25.34	,	[-5.   -8.23]	,	[-5.   -8.23 26.47]	,	[-5.   -8.23 26.47]
25.35	,	[-5.33 -8.22]	,	[-5.33 -8.22 26.18]	,	[-5.33 -8.22 26.18]
25.36	,	[-5.62 -8.24]	,	[-5.62 -8.24 25.92]	,	[-5.62 -8.24 25.92]
25.37	,	[-5.88 -8.27]	,	[-5.88 -8.27 25.69]	,	[-5.88 -8.27 25.69]
25.38	,	[-6.12 -8.33]	,	[-6.12 -8.33 25.49]	,	[-6.12 -8.33 25.49]
25.39	,	[-6.34 -8.4 ]	,	[-6.34 -8.4  25.32]	,	[-6.34 -8.4  25.32]
25.4	,	[-6.55 -8.48]	,	[-6.55 -8.48 25.18]	,	[-6.55 -8.48 25.18]
25.41	,	[-6.74 -8.58]	,	[-6.74 -8.58 25.06]	,	[-6.74 -8.58 25.06]
25.42	,	[-6.92 -8.69]	,	[-6.92 -8.69 24.97]	,	[-6.92 -8.69 24.97]
25.43	,	[-7.1  -8.82]	,	[-7.1  -8.82 24.91]	,	[-7.1  -8.82 24.91]
25.44	,	[-7.27 -8.95]	,	[-7.27 -8.95 24.87]	,	[-7.27 -8.95 24.87]
25.45	,	[-7.44 -9.09]	,	[-7.44 -9.09 24.86]	,	[-7.44 -9.09 24.86]
25.46	,	[-7.6  -9.23]	,	[-7.6  -9.23 24.87]	,	[-7.6  -9.23 24.87]
25.47	,	[-7.77 -9.38]	,	[-7.77 -9.38 24.91]	,	[-7.77 -9.38 24.91]
25.48	,	[-7.93 -9.52]	,	[-7.93 -9.52 24.97]	,	[-7.93 -9.52 24.97]
25.49	,	[-8.09 -9.67]	,	[-8.09 -9.67 25.06]	,	[-8.09 -9.67 25.06]
25.5	,	[-8.25 -9.81]	,	[-8.25 -9.81 25.18]	,	[-8.25 -9.81 25.18]
25.51	,	[-8.4  -9.94]	,	[-8.4  -9.94 25.31]	,	[-8.4  -9.94 25.31]
25.52	,	[ -8.56 -10.07]	,	[ -8.56 -10.07  25.47]	,	[ -8.56 -10.07  25.47]
25.53	,	[ -8.71 -10.18]	,	[ -8.71 -10.18  25.66]	,	[ -8.71 -10.18  25.66]
25.54	,	[ -8.85 -10.29]	,	[ -8.85 -10.29  25.86]	,	[ -8.85 -10.29  25.86]
